Step, Total affected keys, Total marked keys, Relinearize keys, Relinearize affected keys, New factors affected keys, Depth
225, 129, 65, 14, 64, 5, 51
226, 42, 14, 4, 12, 5, 51
227, 83, 25, 4, 23, 5, 51
228, 37, 28, 10, 27, 5, 51
229, 30, 7, 1, 5, 5, 51
230, 98, 48, 12, 47, 5, 51
231, 54, 32, 7, 30, 5, 51
232, 90, 36, 10, 35, 5, 51
233, 113, 79, 32, 78, 5, 51
234, 122, 109, 56, 108, 5, 51
235, 73, 20, 4, 18, 5, 51
236, 137, 59, 9, 58, 5, 51
237, 98, 40, 21, 38, 5, 51
238, 122, 52, 12, 49, 5, 51
239, 97, 49, 15, 46, 5, 51
240, 106, 91, 48, 90, 5, 51
241, 99, 27, 5, 22, 5, 51
242, 186, 148, 66, 147, 5, 51
243, 218, 196, 129, 195, 5, 51
244, 110, 71, 17, 69, 5, 51
245, 151, 88, 49, 86, 5, 51
246, 47, 7, 1, 5, 5, 51
247, 131, 67, 25, 65, 5, 51
248, 232, 213, 147, 211, 5, 51
249, 130, 46, 18, 44, 5, 51
250, 83, 32, 9, 31, 5, 51
251, 183, 120, 48, 118, 5, 51
252, 113, 40, 6, 35, 5, 51
253, 208, 173, 133, 168, 5, 51
254, 184, 122, 49, 119, 5, 51
255, 111, 48, 11, 45, 5, 51
256, 57, 13, 2, 11, 5, 51
257, 192, 117, 54, 115, 5, 51
258, 203, 138, 55, 136, 5, 51
259, 52, 7, 1, 5, 5, 51
260, 53, 5, 0, 0, 5, 51
261, 184, 87, 21, 86, 5, 51
262, 105, 39, 11, 37, 5, 51
263, 115, 60, 24, 59, 5, 51
264, 120, 58, 13, 55, 5, 51
265, 130, 66, 17, 64, 5, 51
266, 194, 111, 43, 106, 5, 51
267, 170, 119, 60, 118, 5, 51
268, 103, 27, 5, 25, 5, 51
269, 122, 33, 5, 32, 5, 51
270, 142, 86, 27, 85, 5, 51
271, 78, 48, 7, 46, 5, 51
272, 149, 85, 24, 84, 5, 51
273, 98, 27, 5, 25, 5, 51
274, 134, 52, 13, 51, 5, 51
275, 198, 139, 43, 138, 5, 51
276, 118, 60, 13, 59, 5, 51
277, 120, 61, 17, 60, 5, 51
278, 74, 38, 16, 37, 5, 51
279, 87, 38, 10, 37, 5, 51
280, 98, 26, 4, 25, 5, 51
281, 177, 127, 71, 126, 5, 51
282, 148, 62, 32, 61, 5, 51
283, 120, 34, 6, 32, 5, 51
284, 120, 19, 3, 17, 5, 51
285, 136, 42, 8, 40, 5, 51
286, 172, 109, 48, 108, 5, 51
287, 107, 28, 11, 27, 5, 51
288, 114, 21, 4, 19, 5, 51
289, 40, 7, 1, 5, 5, 51
290, 134, 50, 13, 48, 5, 51
291, 168, 83, 26, 82, 5, 51
292, 76, 20, 3, 19, 5, 51
293, 207, 139, 60, 137, 5, 51
294, 203, 125, 37, 124, 5, 51
295, 250, 215, 123, 213, 5, 51
296, 71, 16, 2, 14, 5, 51
297, 86, 26, 4, 24, 5, 51
298, 261, 216, 123, 215, 5, 51
299, 245, 204, 111, 202, 5, 51
300, 197, 110, 50, 108, 5, 51
301, 181, 83, 15, 78, 5, 51
302, 158, 103, 34, 102, 5, 51
303, 140, 43, 5, 38, 5, 51
304, 186, 145, 48, 144, 5, 51
305, 168, 106, 32, 101, 5, 51
306, 28, 7, 1, 5, 5, 51
307, 75, 25, 4, 23, 5, 51
308, 147, 64, 16, 62, 5, 51
309, 190, 100, 26, 96, 5, 51
310, 276, 217, 89, 215, 5, 51
311, 210, 113, 25, 111, 5, 51
312, 121, 41, 9, 40, 5, 51
313, 82, 17, 2, 12, 5, 51
314, 114, 38, 9, 37, 5, 51
315, 116, 32, 6, 29, 5, 51
316, 105, 31, 8, 30, 5, 51
317, 78, 9, 2, 7, 5, 51
318, 73, 5, 0, 0, 5, 51
319, 48, 7, 1, 5, 5, 51
320, 61, 13, 2, 11, 5, 51
321, 121, 33, 6, 32, 5, 51
322, 133, 57, 12, 56, 5, 51
