Step, Total affected keys, Total marked keys, Relinearize keys, Relinearize affected keys, New factors affected keys, Depth
289, 23, 5, 0, 0, 5, 21
290, 23, 5, 0, 0, 5, 21
291, 23, 5, 0, 0, 5, 21
292, 23, 5, 0, 0, 5, 21
293, 23, 5, 0, 0, 5, 21
294, 23, 5, 0, 0, 5, 21
295, 23, 7, 1, 3, 5, 21
296, 30, 21, 8, 20, 5, 21
297, 23, 5, 0, 0, 5, 21
298, 23, 5, 0, 0, 5, 21
299, 24, 7, 1, 5, 5, 21
300, 23, 5, 0, 0, 5, 21
301, 23, 3, 0, 0, 3, 21
302, 2, 2, 0, 0, 2, 1
303, 2, 2, 0, 0, 2, 1
304, 2, 2, 0, 0, 2, 1
305, 2, 2, 0, 0, 2, 1
306, 2, 2, 0, 0, 2, 1
307, 2, 2, 0, 0, 2, 1
308, 2, 2, 0, 0, 2, 1
309, 2, 2, 0, 0, 2, 1
310, 2, 2, 0, 0, 2, 1
311, 2, 2, 0, 0, 2, 1
312, 2, 2, 0, 0, 2, 1
313, 2, 2, 0, 0, 2, 1
314, 41, 4, 0, 0, 4, 39
315, 33, 16, 7, 13, 8, 41
316, 34, 13, 2, 9, 4, 41
317, 2, 2, 0, 0, 2, 1
318, 2, 2, 0, 0, 2, 1
319, 100, 3, 0, 0, 3, 179
320, 182, 180, 175, 177, 5, 181
321, 52, 16, 7, 11, 5, 181
322, 77, 25, 16, 24, 5, 181
323, 130, 126, 117, 125, 5, 181
324, 178, 156, 142, 153, 5, 181
325, 52, 17, 10, 12, 5, 181
326, 82, 35, 15, 30, 5, 181
327, 47, 13, 5, 11, 5, 181
328, 44, 8, 1, 3, 5, 181
329, 43, 7, 1, 5, 5, 181
330, 45, 5, 1, 4, 5, 181
331, 45, 7, 1, 6, 3, 181
332, 2, 2, 0, 0, 2, 1
333, 2, 2, 0, 0, 2, 1
334, 33, 3, 0, 0, 3, 199
335, 203, 200, 193, 197, 5, 201
336, 37, 13, 3, 12, 5, 201
337, 86, 54, 42, 53, 5, 201
338, 152, 135, 110, 130, 5, 201
339, 36, 6, 0, 0, 6, 201
340, 37, 8, 0, 0, 8, 201
341, 74, 40, 28, 32, 8, 201
342, 35, 8, 0, 0, 8, 201
343, 34, 8, 0, 0, 8, 201
344, 73, 43, 29, 40, 8, 201
345, 32, 8, 0, 0, 8, 201
346, 31, 8, 0, 0, 8, 201
347, 30, 8, 0, 0, 8, 201
348, 35, 17, 2, 12, 8, 201
349, 32, 14, 1, 9, 8, 201
350, 39, 17, 1, 9, 8, 201
351, 39, 15, 1, 9, 6, 201
352, 165, 136, 129, 135, 5, 201
353, 48, 11, 2, 6, 5, 201
354, 35, 5, 0, 0, 5, 201
355, 73, 34, 28, 33, 5, 201
356, 37, 3, 0, 0, 3, 201
357, 39, 7, 1, 6, 2, 1
358, 2, 2, 0, 0, 2, 1
359, 2, 2, 0, 0, 2, 1
360, 2, 2, 0, 0, 2, 1
361, 2, 2, 0, 0, 2, 1
362, 2, 2, 0, 0, 2, 1
363, 2, 2, 0, 0, 2, 1
364, 2, 2, 0, 0, 2, 1
365, 2, 2, 0, 0, 2, 1
366, 3, 2, 0, 0, 2, 1
367, 2, 2, 0, 0, 2, 1
368, 2, 2, 0, 0, 2, 1
369, 43, 5, 0, 0, 5, 219
370, 157, 90, 62, 83, 11, 221
371, 127, 77, 38, 72, 9, 221
372, 95, 39, 13, 31, 8, 221
373, 52, 8, 0, 0, 8, 221
374, 54, 8, 0, 0, 8, 221
375, 56, 8, 0, 0, 8, 221
376, 58, 6, 0, 0, 6, 221
377, 97, 32, 14, 31, 5, 221
378, 126, 65, 46, 60, 5, 221
379, 128, 57, 36, 54, 5, 221
380, 67, 5, 0, 0, 5, 221
381, 95, 55, 35, 54, 3, 221
382, 2, 2, 0, 0, 2, 1
383, 2, 2, 0, 0, 2, 1
384, 39, 5, 0, 0, 5, 239
385, 232, 192, 168, 188, 11, 241
386, 5, 5, 0, 0, 5, 241
387, 2, 2, 0, 0, 2, 1
388, 2, 2, 0, 0, 2, 1
389, 53, 4, 0, 0, 4, 119
390, 178, 149, 141, 148, 8, 121
391, 52, 21, 4, 13, 8, 121
392, 43, 8, 0, 0, 8, 121
393, 54, 17, 3, 14, 8, 121
394, 41, 9, 0, 0, 9, 121
395, 53, 23, 2, 18, 11, 121
396, 49, 9, 0, 0, 9, 121
397, 50, 8, 0, 0, 8, 121
398, 51, 8, 0, 0, 8, 121
399, 50, 8, 0, 0, 8, 121
400, 55, 11, 1, 8, 8, 121
401, 50, 6, 0, 0, 6, 121
402, 51, 5, 0, 0, 5, 121
403, 52, 5, 0, 0, 5, 121
404, 52, 6, 0, 0, 6, 139
405, 69, 17, 1, 9, 8, 141
406, 54, 8, 0, 0, 8, 141
407, 55, 8, 0, 0, 8, 141
408, 54, 8, 0, 0, 8, 141
409, 53, 9, 0, 0, 9, 141
410, 63, 11, 0, 0, 11, 141
411, 62, 11, 0, 0, 11, 141
412, 63, 11, 0, 0, 11, 141
413, 62, 11, 0, 0, 11, 141
414, 61, 12, 0, 0, 12, 141
415, 65, 14, 1, 13, 14, 141
416, 79, 8, 0, 0, 8, 141
417, 85, 12, 1, 7, 5, 101
418, 87, 8, 1, 3, 5, 101
419, 138, 79, 31, 74, 7, 279
420, 53, 11, 0, 0, 11, 281
421, 165, 112, 68, 108, 11, 281
422, 39, 11, 0, 0, 11, 281
423, 43, 15, 1, 11, 11, 281
424, 44, 24, 2, 19, 12, 281
425, 51, 14, 0, 0, 14, 281
426, 38, 8, 0, 0, 8, 281
427, 116, 52, 33, 47, 5, 41
428, 40, 7, 1, 5, 5, 41
429, 39, 8, 0, 0, 8, 159
430, 58, 14, 0, 0, 14, 161
431, 39, 14, 0, 0, 14, 161
432, 40, 14, 0, 0, 14, 161
433, 39, 14, 0, 0, 14, 161
434, 97, 48, 8, 42, 15, 161
435, 103, 56, 14, 39, 17, 161
436, 55, 13, 0, 0, 13, 161
437, 56, 11, 0, 0, 11, 161
438, 79, 17, 2, 6, 11, 161
439, 55, 11, 0, 0, 11, 161
440, 59, 11, 0, 0, 11, 161
